Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,null,null,null,null,null,null
2018-08-01,null,null,null,null,null,null
2018-09-01,null,null,null,null,null,null
2018-10-01,null,null,null,null,null,null
2018-11-01,null,null,null,null,null,null
2018-12-01,null,null,null,null,null,null
2019-01-01,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-06-01,3900.000000,4200.000000,3840.000000,4140.000000,4140.000000,1466801400
2019-07-01,4200.000000,4370.000000,4160.000000,4190.000000,4190.000000,1072099400
2019-07-25,4160.000000,4240.000000,4160.000000,4230.000000,4230.000000,18581600
