"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18, 2018","3,740","3,700","3,740","3,680","79.83M","0.81%"
"Dec 17, 2018","3,710","3,740","3,770","3,710","86.25M","-0.54%"
"Dec 14, 2018","3,730","3,800","3,840","3,730","139.55M","-0.53%"
"Dec 13, 2018","3,750","3,680","3,780","3,660","118.97M","2.74%"
"Dec 12, 2018","3,650","3,660","3,670","3,620","87.33M","0.83%"
"Dec 11, 2018","3,620","3,640","3,670","3,610","88.05M","-1.63%"
"Dec 10, 2018","3,680","3,650","3,720","3,610","70.09M","0.27%"
"Dec 07, 2018","3,670","3,700","3,710","3,660","92.90M","-1.08%"
"Dec 06, 2018","3,710","3,740","3,770","3,700","62.16M","-1.59%"
"Dec 05, 2018","3,770","3,740","3,800","3,730","58.42M","-0.26%"
"Dec 04, 2018","3,780","3,720","3,780","3,720","121.59M","2.16%"
"Dec 03, 2018","3,700","3,740","3,770","3,700","106.89M","0.54%"
"Nov 30, 2018","3,680","3,760","3,780","3,680","151.55M","-1.60%"
"Nov 29, 2018","3,740","3,770","3,810","3,710","120.92M","0.54%"
"Nov 28, 2018","3,720","3,890","3,900","3,710","195.86M","-4.12%"
"Nov 27, 2018","3,880","3,940","3,950","3,850","116.42M","-2.76%"
"Nov 26, 2018","3,990","3,980","4,000","3,950","43.88M","0.00%"
"Nov 23, 2018","3,990","3,980","4,000","3,950","35.50M","0.25%"
"Nov 22, 2018","3,980","3,910","3,990","3,910","52.28M","0.51%"
"Nov 21, 2018","3,960","3,860","3,960","3,850","97.53M","0.25%"
"Nov 19, 2018","3,950","4,050","4,050","3,930","72.79M","-2.47%"
"Nov 16, 2018","4,050","3,930","4,110","3,920","128.60M","3.58%"
"Nov 15, 2018","3,910","3,800","3,940","3,790","71.44M","4.27%"
"Nov 14, 2018","3,750","3,860","3,880","3,750","72.97M","-2.09%"
"Nov 13, 2018","3,830","3,810","3,850","3,750","89.82M","-0.78%"
"Nov 12, 2018","3,860","3,890","3,950","3,860","57.26M","-1.53%"
"Nov 09, 2018","3,920","3,960","3,960","3,920","45.24M","-2.00%"
"Nov 08, 2018","4,000","3,970","4,000","3,920","74.00M","1.27%"
"Nov 07, 2018","3,950","3,900","3,950","3,870","98.35M","1.54%"
"Nov 06, 2018","3,890","3,930","3,930","3,820","58.09M","0.00%"
"Nov 05, 2018","3,890","3,850","3,910","3,850","60.12M","-1.27%"
"Nov 02, 2018","3,940","3,900","3,940","3,880","98.07M","1.55%"
"Nov 01, 2018","3,880","3,850","3,880","3,810","69.59M","0.78%"
"Oct 31, 2018","3,850","3,850","3,870","3,730","140.35M","1.32%"
"Oct 30, 2018","3,800","3,640","3,850","3,630","158.93M","3.83%"
"Oct 29, 2018","3,660","3,630","3,660","3,580","54.30M","0.83%"
"Oct 26, 2018","3,630","3,580","3,660","3,580","100.55M","2.25%"
"Oct 25, 2018","3,550","3,490","3,580","3,460","120.11M","0.85%"
"Oct 24, 2018","3,520","3,700","3,710","3,520","117.67M","-4.86%"
"Oct 23, 2018","3,700","3,800","3,800","3,670","53.27M","-2.63%"
"Oct 22, 2018","3,800","3,730","3,830","3,730","57.68M","1.88%"
"Oct 19, 2018","3,730","3,700","3,770","3,690","140.16M","-0.80%"
