Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,6725.000000,6750.000000,6425.000000,6425.000000,6238.271484,26041600
2018-06-28,6425.000000,6475.000000,6275.000000,6350.000000,6165.451660,47122000
2018-06-29,6400.000000,6600.000000,6375.000000,6600.000000,6408.186035,44077400
2018-07-02,6650.000000,6650.000000,6250.000000,6250.000000,6068.357422,30044400
2018-07-03,6250.000000,6400.000000,6100.000000,6100.000000,5922.716797,31918600
2018-07-04,6175.000000,6425.000000,6125.000000,6250.000000,6068.357422,26706500
2018-07-05,6200.000000,6375.000000,6200.000000,6300.000000,6116.904297,10071000
2018-07-06,6375.000000,6375.000000,6250.000000,6300.000000,6116.904297,12516100
2018-07-09,6350.000000,6400.000000,6250.000000,6325.000000,6141.178223,17337000
2018-07-10,6450.000000,6550.000000,6350.000000,6350.000000,6165.451660,36086900
2018-07-11,6300.000000,6625.000000,6275.000000,6625.000000,6432.458984,29415100
2018-07-12,6575.000000,6700.000000,6550.000000,6675.000000,6481.005859,22465500
2018-07-13,6750.000000,6825.000000,6650.000000,6800.000000,6602.373047,27647800
2018-07-16,6700.000000,6725.000000,6550.000000,6700.000000,6505.279297,16831500
2018-07-17,6550.000000,6675.000000,6500.000000,6625.000000,6432.458984,15901500
2018-07-18,6700.000000,6750.000000,6575.000000,6650.000000,6456.732422,19002100
2018-07-19,6650.000000,6750.000000,6650.000000,6700.000000,6505.279297,27562100
2018-07-20,6700.000000,6750.000000,6575.000000,6675.000000,6481.005859,22005400
2018-07-23,6750.000000,6750.000000,6675.000000,6675.000000,6481.005859,13735600
2018-07-24,6625.000000,6750.000000,6625.000000,6650.000000,6456.732422,8932500
2018-07-25,6725.000000,6900.000000,6650.000000,6875.000000,6675.193848,15946900
2018-07-26,6925.000000,6950.000000,6650.000000,6675.000000,6481.005859,20823800
2018-07-27,6700.000000,7000.000000,6700.000000,6975.000000,6772.287109,31156700
2018-07-30,7000.000000,7100.000000,6900.000000,7100.000000,6893.654297,21379900
2018-07-31,7050.000000,7150.000000,6975.000000,7150.000000,6942.200684,25841400
2018-08-01,7150.000000,7475.000000,7150.000000,7475.000000,7257.755859,53935800
2018-08-02,7500.000000,7500.000000,7300.000000,7300.000000,7087.841797,19141400
2018-08-03,7275.000000,7300.000000,7050.000000,7125.000000,6917.927734,24035700
2018-08-06,7250.000000,7475.000000,7200.000000,7425.000000,7209.208496,37077600
2018-08-07,7475.000000,7475.000000,7325.000000,7375.000000,7160.662109,23222200
2018-08-08,7400.000000,7450.000000,7325.000000,7425.000000,7209.208496,16794100
2018-08-09,7300.000000,7525.000000,7300.000000,7500.000000,7282.029297,17331500
2018-08-10,7450.000000,7475.000000,7325.000000,7400.000000,7184.935547,16288400
2018-08-13,7275.000000,7275.000000,7075.000000,7100.000000,6893.654297,25732900
2018-08-14,7075.000000,7225.000000,6825.000000,6825.000000,6626.646484,34274000
2018-08-15,6900.000000,7050.000000,6600.000000,6975.000000,6772.287109,44615000
2018-08-16,6975.000000,7250.000000,6850.000000,7100.000000,6893.654297,21705200
2018-08-17,7100.000000,7100.000000,7100.000000,7100.000000,6893.654297,0
2018-08-20,7250.000000,7400.000000,7150.000000,7400.000000,7184.935547,44690500
2018-08-21,7400.000000,7475.000000,7325.000000,7475.000000,7257.755859,20659500
2018-08-22,7475.000000,7475.000000,7475.000000,7475.000000,7257.755859,0
2018-08-23,7475.000000,7525.000000,7300.000000,7425.000000,7209.208496,30246600
2018-08-24,7375.000000,7450.000000,7275.000000,7375.000000,7160.662109,15617800
2018-08-27,7375.000000,7600.000000,7350.000000,7575.000000,7354.849121,32820400
2018-08-28,7575.000000,7600.000000,7350.000000,7350.000000,7136.388672,17798200
2018-08-29,7450.000000,7550.000000,7375.000000,7475.000000,7257.755859,26083000
2018-08-30,7500.000000,7500.000000,7350.000000,7475.000000,7257.755859,15151400
2018-08-31,7400.000000,7400.000000,7200.000000,7250.000000,7039.294922,40829300
2018-09-03,7275.000000,7275.000000,7075.000000,7100.000000,6893.654297,25016000
